Field (n of 13),Code,Description (DK),Description (ENG)
targetGroup,1000,Børn & unge,Children and youth
targetGroup,1100,Børn,Children
targetGroup,1110,Små  børn 3-7 år,Small children 3-7
targetGroup,1120,Halvstore børn 7-9 år,Half grown children 7-9
targetGroup,1130,Store børn 9-12 år,Big children 9-12
targetGroup,1140,Børn i alderen 3-9 år,Children in the age of 3-9
targetGroup,1150,Børn i alderen 7-12 år,Children in the age of 7-12
targetGroup,1160,Børn i alderen 8-11 år,Children in the age of 8-11
targetGroup,1170,Børn i alderen 12-14 år,Children in the age of 12-14
targetGroup,1180,Børn i alderen 3-10 år,Children in the age of 3-10
targetGroup,1200,Unge,Youth
targetGroup,1210,13-16 år,13-16 year-olds
targetGroup,1220,17-20 år,17-20 year-olds
targetGroup,1230,15-25 år,15-25 year-olds
targetGroup,2000,Voksne,Grown-ups
targetGroup,2100,Kvinder,Women
targetGroup,2200,Mænd,Men
targetGroup,2300,Unge voksne (21-30),Young adults (21-30)
targetGroup,2310,Kvinder,Women
targetGroup,2320,Mænd,Men
targetGroup,2400,Voksne (31-60),Adults (31-60)
targetGroup,2410,Kvinder,Women
targetGroup,2420,Mænd,Men
targetGroup,2500,Ældre (61+),Elderly people (61+)
targetGroup,2510,Kvinder,Women
targetGroup,2520,Mænd,Men
targetGroup,2600,Voksne i alderen 21-60,Adults in the age of 21-60
targetGroup,2610,Kvinder,Women
targetGroup,2620,Mænd,Men
targetGroup,2700,Voksne i alderen 31+,Adults in the age of 31+
targetGroup,2710,Kvinder,Women
targetGroup,2720,Mænd,Men
targetGroup,2800,Unge og unge voksne (15-30),Young and young adult (15-30)
targetGroup,2810,Kvinder,Women
targetGroup,2820,Mænd,Men
targetGroup,2900,Unge og unge voksne (15-40),Young and young adult (15-40)
targetGroup,2910,Kvinder,Women
targetGroup,2920,Mænd,Men
targetGroup,3000,Familie ( mindst 2 generationer),Family ( at least 2 generations)
targetGroup,4000,Specielle målgrupper,Special target groups
targetGroup,4100,Etniske minoriteter,Ethnic minorities
targetGroup,4118,Børn i alderen 3-10 år,Children in the age of 3-10
targetGroup,4123,15-25 år,15-25 year-olds
targetGroup,4200,Handicappede,Handicapped persons
targetGroup,4210,Døve og hørehæmmede,Deaf and hearing-impaired persons
targetGroup,4211,Børn 3-12 år,Børn (3-12)
targetGroup,4212,Unge 13-20 år,Unge (13-20)
targetGroup,4213,Voksne,Grown-ups
targetGroup,4220,Andet handicap,Other handicap
targetGroup,4300,Specifikt erhverv,Specific occupation
targetGroup,4400,Specifik interessegruppe,Specific interest group
targetGroup,4410,Interesse for Kulturudsendelser,Interest in Culture programmes
targetGroup,4420,Interesse for Religion,Interest in Religion
targetGroup,4430,Interesse for Politisk debat,Interest in Political debate
targetGroup,4440,Interesse for Almindelige mennesker,Interest in Ordinary people
targetGroup,4450,Interesse for Quiz,Interest in Quiz shows
targetGroup,4460,Interesse for Naturvidenskab,Interest in Science
targetGroup,4470,Interesse for Gør-det-selv,Interest in Do-it-yourself
targetGroup,4480,Interesse for Have,Interest in Gardening
targetGroup,4490,Interesse for Sport i tv,Interest in Sports on TV
targetGroup,4500,RISC-Segmenter,RISC-Segments
targetGroup,4510,Blå,Blue
targetGroup,4520,Grøn,Green
targetGroup,4530,Grå,Gray
targetGroup,4540,Violet,Violet
targetGroup,4550,Rosa,Pink
targetGroup,4560,Nord (Blå + Grøn),North (Blue + Green)
targetGroup,4570,Syd  (Violet + Rosa),South (Violet + Rose)
targetGroup,4580,Vest (Blå  + Violet),West  (Blue + Violet)
targetGroup,4590,Øst  (Grøn + Rosa),East  (Green + Pink)
targetGroup,4610,Moderne,Modern
targetGroup,4620,Moderne individorienterede,Modern individual
targetGroup,4630,Individorienterede,Individual
targetGroup,4640,Traditionelle individorienterede,Traditional individual
targetGroup,4650,Traditionelle,Traditional
targetGroup,4660,Traditionelle fællesskabsorienterede,Traditional community orientated
targetGroup,4670,Fællesskabsorienterede,Community orientated
targetGroup,4680,Moderne Fællesskabsorienterede,Modern community orientated
targetGroup,4690,Center,Centre
targetGroup,5000,Til  alle (Incl: uden målgruppeangivelse),For everybody (Incl: no target group specification)
contentsItem,1000,Samfundsforhold (fakta),Social conditions (facts)
contentsItem,1100,Samfundsforhold i et land,Social conditions in a country
contentsItem,1110,Politiske forhold,Political conditions
contentsItem,1111,Kongehus,The royal house
contentsItem,1112,Regering/ Folketing,Government/the Danish Parliament
contentsItem,1113,De  politiske partier,The political parties
contentsItem,1114,Valg,Election
contentsItem,1119,Andet,Other
contentsItem,1120,Sociale og retslige forhold,Social and legal conditions
contentsItem,1121,Kriminalitet,Crime
contentsItem,1122,Lov og pligt,Law and duty
contentsItem,1123,Svage grupper,Underprivileged
contentsItem,1124,Indvandrere,Immigrants
contentsItem,1125,Øvrige sociale forhold,Other social conditions
contentsItem,1126,Øvrige retslige forhold,Other legal conditions
contentsItem,1129,Andet,Other
contentsItem,1130,Økonomi og erhvervsforhold,Economy and trade conditions
contentsItem,1131,Arbejdsmarked,Labour market
contentsItem,1132,Industri,Industry
contentsItem,1133,Servicefag,Service trades
contentsItem,1134,Håndværk,Crafts
contentsItem,1135,Landbrug/fiskeri,Agriculture/fishing
contentsItem,1136,Energi,Energy
contentsItem,1137,Forbrugerstof,Consumer issues
contentsItem,1138,Skat og privatøkonomi,Taxes and private economy
contentsItem,1139,Andet,Other
contentsItem,1140,"Miljø, økologi og sundhed","Environment, ecology and health"
contentsItem,1141,Miljø og økologi,Environment and ecology
contentsItem,1142,Sundhed,Health
contentsItem,1144,Boligforhold,Housing conditions
contentsItem,1149,Andet,Other
contentsItem,1150,Trafik & Kommunikation,Traffic and communication
contentsItem,1151,Trafik,Traffic
contentsItem,1152,Telekommunikation og post,Telecommunication and post
contentsItem,1153,Mediepolitik,Media politics
contentsItem,1159,Andet,Other
contentsItem,1160,Undervisning og Kultur,Education and culture
contentsItem,1161,"Skoleforhold, undervisning, uddannelse iøvrigt","School conditions, education, education in addition"
contentsItem,1162,Kulturforhold,Culture
contentsItem,1169,Andet,Other
contentsItem,1170,"Forsvar, Udenrigspolitik og Udviklingsbistand","Defence, foreign policy and development aid"
contentsItem,1171,Forsvar,Defence
contentsItem,1172,Udenrigspolitik,Foreign policy
contentsItem,1173,Udviklingsbistand,Development aid
contentsItem,1180,"Grønland, Færørene og Sydslesvig","Greenland, the Faroe Islands and South Schleswig"
contentsItem,1190,Andet,Other
contentsItem,1200,Internationale forhold,International conditions
contentsItem,1210,Internationale organisationer,International organizations
contentsItem,1211,FN,UN
contentsItem,1212,EU,EU
contentsItem,1213,NATO,NATO
contentsItem,1214,Anden international organisa-,Other international organization
contentsItem,1220,Internationale konflikter/krig,International conflicts/war
contentsItem,1290,Andet,Other
contentsItem,2000,Natur og kultur (fakta),Nature and culture (fact-oriented)
contentsItem,2100,Natur,Nature
contentsItem,2110,Natur og dyr,Nature and animals
contentsItem,2111,Vilde dyr,Wild animals
contentsItem,2112,Husdyr,Domestic animals
contentsItem,2113,Planter,Plants
contentsItem,2120,Naturlandskaber,Sceneries
contentsItem,2130,Geografi og opdagelsesrejser,Geography and voyages of discovery
contentsItem,2140,Vejr og klima,Weather and climate
contentsItem,2190,Andet,Other
contentsItem,2200,Teknik og naturvidenskab,Technology and science
contentsItem,2210,Teknik,Technology
contentsItem,2211,Opfindelser,Inventions
contentsItem,2212,Bil og motor,Car and engine
contentsItem,2213,EDB/Computer,EDP/Computer
contentsItem,2214,Medicinsk teknologi,Medical technology
contentsItem,2219,"Andet, teknik","Other, technology"
contentsItem,2220,Naturvidenskab,Science
contentsItem,2221,Bio-teknologi,Bio-technology
contentsItem,2222,Verdensrummet,Space
contentsItem,2229,"Andet, naturvidenskab","Other, science"
contentsItem,2300,Kultur,Culture
contentsItem,2310,Arkæologi,Science
contentsItem,2320,Historie og kulturhistorie,Archaeology
contentsItem,2321,Historie,History
contentsItem,2322,Kulturhistorie,Cultural history
contentsItem,2330,Fremmede folkeslag,History and cultural history
contentsItem,2340,Sprog,Foreign nations
contentsItem,2390,Andet,Language
contentsItem,2400,Litteratur,Literature
contentsItem,2410,Prosa,Other
contentsItem,2420,Poesi,Prose
contentsItem,2490,Andet,Poetry
contentsItem,2500,Medier,Media
contentsItem,2510,Tv  og video,Other
contentsItem,2520,Aviser,Television and video
contentsItem,2530,Film,News papers
contentsItem,2540,Teater,Films
contentsItem,2590,Andet,Theatre
contentsItem,2600,Kunst og arkitektur,Art and architecture
contentsItem,2610,Malerkunst,Other
contentsItem,2620,Skulptur,Painting
contentsItem,2630,Arkitektur,Sculpture
contentsItem,2690,Andet,Architecture
contentsItem,2700,Individet,The individual
contentsItem,2710,Sundhed,Other
contentsItem,2711,Helse,General health issues
contentsItem,2712,Sjælelivet,Mental life
contentsItem,2713,Seksualitet,Sexuality
contentsItem,2719,"Andet, sundhed","Other, health"
contentsItem,2720,Livsberetninger og skæbner,Health
contentsItem,2721,Politiske forhold,Political conditions
contentsItem,2722,Social og retlige forhold,Social and legal conditions
contentsItem,2723,Økonomi og erhvervsforhold,Economy and trade conditions
contentsItem,2724,"Miljø, økologi og sundhed","Environment, ecology and health *"
contentsItem,2725,Trafik og kommunikation,Traffic and communication
contentsItem,2726,Undervisning og kultur,Education and culture
contentsItem,2727,"Forsvar, udenrigspolitik og","Defence, foreign policy and development aid"
contentsItem,2728,"Grønland, Færøerne og Sydsles-","Greenland, the Faroe Islands and South"
contentsItem,2729,Andet,Other
contentsItem,2790,Andet,Memoirs and destinies
contentsItem,2800,Fritid,Leisure time
contentsItem,2810,Mad og drikke,Food and beverage
contentsItem,2820,"Turisme, ferier, rejser","Tourism, holidays, journeys"
contentsItem,2830,Mode og lifestyle,Fashion and life style
contentsItem,2840,Bolig,Home
contentsItem,2850,Have,Garden
contentsItem,2860,"Hobby, gør det selv","Hobby, do it yourself"
contentsItem,2870,Antikviteter,Antiques
contentsItem,2880,Friluftsaktiviteter (ikke sport),Outdoor activities (not sports)
contentsItem,2890,Andet,Other
contentsItem,2900,Blandet,Miscellaneous
contentsItem,3000,"Fiktion, musik og ballet","Fiction, music and ballet"
contentsItem,3100,Fiktion,Fiction
contentsItem,3110,Klassisk,Classic
contentsItem,3111,Klassisk tragedie,Classic tragedy
contentsItem,3112,Klassisk komedie,Classic comedy
contentsItem,3119,Andet,Other
contentsItem,3120,Spænding,Suspense
contentsItem,3121,Krig,War
contentsItem,3122,Action,Action
contentsItem,3123,"Trillers: Krimi, detektiv, spion","Thrillers: detective, spy"
contentsItem,3124,Politi,Police
contentsItem,3125,Gyser/Skræk/Katastrofe,Thriller/horror/disaster
contentsItem,3126,Science-fiction,Science-fiction
contentsItem,3127,Western,Western
contentsItem,3128,Adventure/Eventyrlige film,Adventure/fantastic films
contentsItem,3129,Andet,Other
contentsItem,3130,Kærlighed,Love
contentsItem,3131,Love-story/Melodrama,Love-story/Melodrama
contentsItem,3132,Erotik,Eroticism
contentsItem,3139,Andet,Other
contentsItem,3140,Humor,Humour
contentsItem,3141,Lystspil,Comedy
contentsItem,3142,Comedy/Situation Comedy,Comedy/Situation Comedy
contentsItem,3143,Farce/spoof,Farce/spoof
contentsItem,3144,Folkekomedie/familiefilm,People's comedy/family movie
contentsItem,3149,Andet,Other
contentsItem,3150,Soap,Soap operas
contentsItem,3151,Soap hverdagsliv,Soap everyday life
contentsItem,3152,Soap glamour,Soap glamour
contentsItem,3159,Anden soap,Other soap
contentsItem,3160,"Psykologisk, socialt og historisk drama","Psychological, social and historical drama"
contentsItem,3161,Psykologisk drama,Psychological drama
contentsItem,3162,Socialt drama,Social drama
contentsItem,3163,Historisk drama og biografier,Historical drama and biographies
contentsItem,3164,Melodrama/love-story,Melodrama/love-story
contentsItem,3170,Eventyr og dyr,Adventure and animals
contentsItem,3171,Dyr med central rolle,Animals with a central part
contentsItem,3172,Eventyr,Adventure
contentsItem,3179,Andet,Other
contentsItem,3180,Musik- og dansefilm,Music and dance films
contentsItem,3190,Andet,Other
contentsItem,3200,Musik,Music
contentsItem,3210,Klassisk musik,Classic music
contentsItem,3211,Før klassisk musik,Pre classic music
contentsItem,3212,Klassisk og romantisk,Classic and romantic
contentsItem,3213,Musik fra det 20.århundrede,Music from the 20th century
contentsItem,3220,Let musik,Light music
contentsItem,3221,Operette/musical,Musical comedy/musical
contentsItem,3222,Evergreens,Evergreens
contentsItem,3223,"Populær musik, popmusik","Popular music, pop music"
contentsItem,3229,Andet,Other
contentsItem,3230,Rytmisk musik,Rhythmical music
contentsItem,3231,Rock,Rock
contentsItem,3232,Beat,Beat
contentsItem,3233,Jazz,Jazz
contentsItem,3234,Soul,Soul
contentsItem,3235,Folke musik,Folk music
contentsItem,3236,Country musik,Country music
contentsItem,3239,Andet,Other
contentsItem,3240,Blandede musikprogrammer,Mixed music programmes
contentsItem,3290,Andet,Other
contentsItem,3300,Ballet og dans,Ballet and dance
contentsItem,3310,Klassisk ballet og dans,Classic ballet and dance
contentsItem,3320,Moderne ballet og dans,Modern ballet and dance
contentsItem,3330,Eksperimenterende og avantgarde,Experimenting and avantgarde
contentsItem,3390,Andet,Other
contentsItem,4000,"Folkekirke, Religion og livsanskuelse","The established church, religion and philosophy of life"
contentsItem,4100,Gudstjeneste(folkekirkelige),Service (of the established church)
contentsItem,4200,Folkekirken,The established church
contentsItem,4300,Religiøse emner(ikke folkekirkelige),Religious subjects (not of the established church)
contentsItem,4400,Forkyndende sangprogrammer,Preaching song programmes
contentsItem,4500,Livsanskuelse og filosofi,View of life and philosophy
contentsItem,4900,Andet,Other
contentsItem,5000,Sport,Sports
contentsItem,5100,Fodbold,Football
contentsItem,5110,Dansk klub-fodbold,Danish league football *
contentsItem,5111,Superligaen,Superligaen
contentsItem,5112,1.division,First division
contentsItem,5120,Danske fodboldlandskampe,International Danish football matches *
contentsItem,5130,"OL-, EM og VM-fodboldlandskampe","International Olympic Games, European Cham-"
contentsItem,5140,Europacup-fodbold,European Cup football *
contentsItem,5150,Engelsk klub-fodbold.,English league football
contentsItem,5160,Italiensk klub-fodbold.,Italian league football
contentsItem,5170,Spansk klub-fodbold.,Spanish league football
contentsItem,5180,Tysk klub-fodbold.,German league football
contentsItem,5190,Anden fodbold.,Other football
contentsItem,5191,Fransk klub-fodbold,French team fotball
contentsItem,5192,Hollandsk klub-fodbold,Dutch  team fotball
contentsItem,5193,Skotsk klub-fodbold,Scottish team fotball
contentsItem,5194,Skolefodbold,School football
contentsItem,5200,Andre ikke instrumentale boldspil.,Other non-instrumental games
contentsItem,5210,Håndbold.,Team handball
contentsItem,5211,Dansk klub-håndbold - kvinder,Danish team handball - women
contentsItem,5212,Dansk klub-håndbold - herrer,Danish team handball - men
contentsItem,5213,Danske håndboldlandskampe - kvinder,Danish international handball matches - women
contentsItem,5214,Danske håndboldlandskampe - herrer,Danish international handball matches - men
contentsItem,5215,"OL-, EM- og VM-håndboldkampe - kvinder","Olympiad, European Championship and World Championchip handb"
contentsItem,5216,"OL-, EM- og VM-håndboldkampe - herrer","Olympiad, European Championship and World Championchip handb"
contentsItem,5217,Europa cup-kampe - kvinder,European cup matches - women
contentsItem,5218,Europa cup-kampe - herrer,European cup matches - men
contentsItem,5219,Anden håndbold,Other handball
contentsItem,5220,Basketball.,Basketball
contentsItem,5230,Volleyball.,Volleyball
contentsItem,5231,Beach volley,Beach volley
contentsItem,5240,Bowling.,Bowling
contentsItem,5250,American football.,American football
contentsItem,5260,Rugby,Rugby
contentsItem,5270,Australien football,Australian football
contentsItem,5290,Andet.,Other
contentsItem,5300,Instrumentale spil.,Instrumental games
contentsItem,5310,Tennis.,Tennis
contentsItem,5320,Bordtennis.,Table tennis
contentsItem,5330,Badminton.,Badminton
contentsItem,5340,Golf.,Golf
contentsItem,5350,Billard.,Billiard
contentsItem,5360,Skak.,Chess
contentsItem,5370,Bridge.,Bridge.
contentsItem,5380,Poker,Poker
contentsItem,5390,Andet.,Other
contentsItem,5400,Væddeløb og hesteløb.,Race and horse race
contentsItem,5410,Cykling.,Bicycling
contentsItem,5411,Banecykling,Racing track cycling
contentsItem,5412,Landevejscykling,Road cycling
contentsItem,5413,Cykelcross,Cross country cycling
contentsItem,5420,Motorsport.,Motor sports
contentsItem,5421,Formel 1,Formula 1
contentsItem,5430,Speedway.,Speedway
contentsItem,5440,"Hestesport (gallop, trav, ridebane","Horse sports (gallop, trotting, riding ground etc)"
contentsItem,5490,Andet.,Other
contentsItem,5500,Vintersport.,Winter sports
contentsItem,5510,Ishockey.,Icehockey
contentsItem,5520,Skisport.,Ski-ing
contentsItem,5521,Styrtløb,Downhill
contentsItem,5522,Pukkelpist,Free style
contentsItem,5523,Skeetskydning,Biathlon
contentsItem,5524,Super G,Super G
contentsItem,5525,Skihop,Ski jump
contentsItem,5526,Slalom,Slalom
contentsItem,5527,Langrend,Cross country skiing
contentsItem,5530,Skøjteløb.,Skating
contentsItem,5531,Hurtigløb,Sprinting
contentsItem,5532,Isdans,Ice dancing
contentsItem,5540,Bobslæde,Bobsleigh
contentsItem,5550,Curling,Curling
contentsItem,5560,Isspeedway,Ice speedway
contentsItem,5570,Snowboard,Snowboard
contentsItem,5590,Andet.,Other
contentsItem,5600,Vandsport.,Water sports
contentsItem,5610,Svømning.,Swimming
contentsItem,5620,Sejlsport.,Yachting
contentsItem,5630,Kano/kajak/roning.,Canoe/kayak/rowing
contentsItem,5640,Windsurfing,Windsurfing
contentsItem,5650,Vandski,Water skiing
contentsItem,5660,Vandpolo,Water polo
contentsItem,5670,Undervandsrugby,Under water rugby
contentsItem,5690,Andet.,Other
contentsItem,5700,Kampsport og vægtløftning.,Martial arts and weight-lifting
contentsItem,5710,Taekwon-do o.lign.,Taekwon-do and the like
contentsItem,5720,Boksning.,Boxing
contentsItem,5721,Amatører,Amateurs
contentsItem,5722,Professionelle,Professionals
contentsItem,5730,Vægtløftning.,Weight-lifting
contentsItem,5740,Anden styrkesport,Other bodybuliding
contentsItem,5790,Andet.,Other
contentsItem,5800,"Atletik, gymnastik og dans.","Athletics, gymnastics and dancing"
contentsItem,5810,Atletik.,Athletics
contentsItem,5820,Gymnastik.,Gymnastics
contentsItem,5830,Sportsdans.,Sports dancing
contentsItem,5840,Aerobic,Aerobic
contentsItem,5850,Fitness,Fitness
contentsItem,5860,Løb (herunder maraton og kapgang),Running (including marathon and race walking)
contentsItem,5890,Andet.,Other
contentsItem,5900,"Blandet, handicap og andet.","Mixed, handicap and other"
contentsItem,5910,Blandet sport - nyhedspræget uden,Mixed sports - news-oriented - no audience
contentsItem,5920,Blandet sport - nyhedspræget med,Mixed sports - news-oriented and present audience
contentsItem,5930,Sportstema - blandet sport uden,Sports theme - Mixed sports without news-orienta-
contentsItem,5940,Optaktsudsendelser til sportbegiven-,Prelude programmes to sporting events
contentsItem,5950,Handicapidræt.,Handicap sports
contentsItem,5960,Folkelig idræt (herunder f.eks.-,National sports (including national conventions and
contentsItem,5970,Blandede OL-udsendelser.,Mixed olympic games programmes
contentsItem,5990,Andet.,Other
contentsItem,6000,Underholdning,Entertainment
contentsItem,6100,Shows,Shows
contentsItem,6200,Variete,Music hall
contentsItem,6300,Kabaret,Cabaret
contentsItem,6400,"Revy, satire","Revue, satire"
contentsItem,6500,"Quiz, game (hvis ingen emnekategorisering)","Quiz, game (If no subject category)"
contentsItem,6600,Cirkus,Circus
contentsItem,6700,Journalistisk underholdning,Journalistic entertainment
contentsItem,6800,"Skjult kamera, amatørvideo, o.l.","Candid camera, amateur video and such"
contentsItem,6900,Anden underholdning,Other entertainment
contentsItem,6910,Realityprogrammer uden fagligt indhold,Reality Applications without professional content
contentsItem,6920,Faktuel underholdning,Factual entertainment
contentsItem,6921,Motorprogrammer,Cars & Motors
contentsItem,6922,Teknik/science/engineering,Technical/science/engineering
contentsItem,6923,Adventure,Adventure
contentsItem,6924,Techno/mande soap,Techno/man soap
contentsItem,7000,Andet,Other
contentsItem,7100,Øvrige programsatte udsendelser,Other programmes due to be transmitted
contentsItem,7110,Reklameblokke og Breaks,Commercials
contentsItem,7111,Blå,Blue
contentsItem,7112,Rød,Red
contentsItem,7113,Grøn,Green
contentsItem,7114,Gul,Yellow
contentsItem,7115,Blokke med GRP niveau  0-6  grp.,GRP: 0-6
contentsItem,7116,Blokke med GRP niveau  7-12 grp.,GRP: 7-12
contentsItem,7117,Blokke med GRP niveau 13-20 grp.,GRP:13-20
contentsItem,7118,Blokke med GRP niveau 21-25 grp.,GRP: 21-25
contentsItem,7119,Blokke med GRP niveau  26+  grp.,GRP: 26+
contentsItem,7120,OBS,Information from the Danish State Information Service
contentsItem,7130,Eksperimentalprogrammer,Experimental programmes
contentsItem,7140,TTV-Nyheder,Teletext news
contentsItem,7150,Andet TTV,Other Teletext news
contentsItem,7160,Programoversigter (Programsatte),Programme news (due to be transmitted)
contentsItem,7161,Levende billeder,Moving pictures
contentsItem,7162,Ikke levende billeder,Stills
contentsItem,7190,Andet,Other
contentsItem,7200,Ikke programsatte udsendelser,Programmes not due to be transmitted
contentsItem,7210,TR: (tekst) [trailer],TR: (text) [trailer]
contentsItem,7211,TR: Med sponsor,TR: With sponsor
contentsItem,7212,TR: Uden sponsor,TR: Without sponsor
contentsItem,7220,SI: Statens Informationer / TV 2,SI: Information from the State / TV 2
contentsItem,7230,F:  (tekst på den ikke programsatte,F: (text on the filler which is not due to be transmitted
contentsItem,7240,"S:  (tekst) [skilt, spot, ur, oplæg]","S: (text) [sign, spot, watch, introduction]"
contentsItem,7250,PR: (tekst) [programoversigt],PR: (text) [programme news]
contentsItem,7251,Levende billeder,Moving pictures
contentsItem,7252,Ikke levende billeder,Stills
contentsItem,7260,P:  Pause (sort skærm/skilt m. teknisk,P: Pause (black screen/sign with technical hitch)
contentsItem,7270,SP: Sponsorintro/-outro,SP: Sponsor intro/-outro
contentsItem,7290,A:  Andet,A: Other
contentsItem,8000,TV  2-regionale emner,TV  2-region subjects
contentsItem,8100,"Regionale nyhedsudsendelser på alle kanaler, der",Region News
contentsItem,8200,"Regionale valgudsendelser, herunder folkeafstem-",Region election
contentsItem,8300,Regionale jobs/arbejdsmarkedsudsendelser på alle,Region job/labour market
contentsItem,8400,"Turistinformation på alle kanaler, der er i",Turistinformation
contentsItem,8500,"Sportsudsendelser på alle kanaler, der er i",Sports
contentsItem,8600,Transmissioner af regionale begivenheder på alle,Region events
contentsItem,8700,Åben,Open
contentsItem,8800,Åben,Open
contentsItem,8900,Andet eller en blanding af forskellige program-,Other or a mix of different programs
form,1000,Journalistiske programmer.,Journalistic programmes
form,1100,Nyhedsuds.,News programmes
form,1200,Reportage,On-the-spot report
form,1300,Dokumentar,Documentary
form,1400,Magasin,Magazine
form,1500,Portræt,Portrait
form,1600,Transmission,Transmission
form,1700,Amatørvideo,Amateur video
form,1800,Journalistik med underholdning/Værtspræget underholdning,Journalism with entertainment/Host Embossed entertainment
form,1900,Andet,Other
form,2000,Snakkeprogrammer (diskussion).,Talk shows (discussion)
form,2100,Interview,Interview
form,2110,Værtspræget,Host-oriented
form,2120,Uden særligt værtspræg,Not particularly host-oriented
form,2200,Debat,Debate
form,2210,Værtspræget,Host-oriented
form,2220,Uden særligt værtspræg,Not particularly host-oriented
form,2300,Andet,Other
form,3000,Show-programmer.,Show programmes
form,3100,"Quiz, Game","Quiz, Game"
form,3110,m/  alm. mennesker,With ordinary people
form,3120,m/  amatøreksperter,With amateur experts
form,3130,m/  prof. eksperter,With professional experts
form,3140,m/  kendte mennesker,With famous people
form,3200,Optræden,Performance
form,3300,Underholdningsmagasin,Entertainment magazine
form,3400,Reality,Reality
form,3900,Andet,Other
form,4000,Fiktion,Fiction
form,4100,Skuespil,Plays
form,4200,Film,Films
form,4210,Biograffilm,Movie
form,4220,TV-film (film lavet til TV),TV-Movie
form,4230,Film lavet direkte til udgivelse på video/DVD,Movies made directly to release on video/DVD
form,4300,Kortfilm/novellefilm (under 65 minutter),Short film/films based on short stories (less 65 min.)
form,4400,Serie,Series
form,4410,Episode  (uanset antal),Episode * (regardless of number)
form,4411,Kort varighed,Short duration
form,4412,Mellem varighed,Medium duration
form,4413,Lang varighed,Long duration
form,4420,Miniserie  (føljeton) (2-6 afsnit),Mini series * (serial) (2-6 episodes)
form,4421,Kort varighed,Short duration
form,4422,Mellem varighed,Medium duration
form,4423,Lang varighed,Long duration
form,4430,Føljeton  (7+ afsnit),Serial * (7+ episodes)
form,4431,Kort varighed,Short duration
form,4432,Mellem varighed,Medium duration
form,4433,Lang varighed,Long duration
form,4500,Animation,Animation
form,4510,Tegnefilm,Cartoons
form,4520,Dukkefilm,Puppet films
form,4590,Andet,Other
form,4900,Andet,Other
form,5000,Musisk,Artistic
form,5100,Musikdramatik (opera),Music drama (opera)
form,5200,Musik,Music
form,5300,Sang,Singing
form,5400,Musik og sang,Music and singing
form,5900,Andet,Other
form,6000,Sport,Sports
form,6100,Nyhedsuds.,News programmes
form,6200,Magasin,Magazine
form,6300,Portræt,Portrait
form,6400,Dokumentar,Documentary
form,6500,Olympiske lege,Olympic games
form,6600,International begivenhed/event,International events
form,6700,National begivenhed,National events
form,6800,Snakkeprogrammer,Talkshow
form,6810,Interview,Interview
form,6811,Værtspræget,Host-oriented
form,6812,Uden særlig værtspræg,Not particularly host-oriented
form,6820,Debat,Debate
form,6821,Værtspræget,Host-oriented
form,6822,Uden særlig værtspræg,Not particularly host-oriented
form,6830,Andet,Other
form,6900,Andet,Other
form,7000,"Ikke  egentlige programmer (Præsentation, reklamer m.v.)","Non-programming (Introduction, commercials and the like)"
form,8000,Uddannelse,Education
form,9000,Blandet/Andet,Miscellaneous/other
frequency,1000,Enkelt udsendelse,Single programme
frequency,2000,Serie,Series
frequency,2100,Dagligt (mere end 6 dage i træk),Daily (more than 6 days in a row)
frequency,2200,Ugentligt,Weekly
frequency,2210,1 gang ugentlig,Once a week
frequency,2220,2-6 gange ugentligt,2 - 6 times weekly
frequency,2300,Hver 14. dag,Every fortnight
frequency,2400,1 gang pr. måned,Once a month
frequency,2500,2-11 gange årligt,2-11 times a year
frequency,2600,Årligt,Yearly
frequency,2700,Anden frekvens,Other frequency
frequency,2800,Tilbagevendende uden fast rytme,Returning without any continuance
frequency,3000,"Hverken enkelt eller serie, f.eks. trailere, TV2s rek.blok.","Nor single or series, eg trailers"
origin,1000,"Egenproduktion ( DR TV, TV 2/DANMARK, TV 2 Zulu eller TV3)","Own production ( DR TV, TV 2/DANMARK, TV 2 Zulu eller TV3)"
origin,1100,"National prod. (DR TV, TV 2/DANMARK, TV 2 Zulu eller TV3)","National prod. (DR TV, TV 2/DANMARK, TV 2 Zulu eller TV3)"
origin,1110,Samproduktion TV 2/DANMARK og region(er),Co-production TV 2/DANMARK and region(s)
origin,1120,TV 2/News,TV 2/News
origin,1130,Egenproduceret Nordvision,Own production Nordvision
origin,1140,TV 2/DANMARK - Sporten,TV 2/DANMARK - Sport
origin,1150,TV 2/DANMARK - Promotion,TV 2/DANMARK - Promotion
origin,1160,TV 2/DANMARK - TV 2/Design,TV 2/DANMARK - TV 2/Design
origin,1170,TV 2/DANMARK - Nyheder/Aktualitet,TV 2/DANMARK - News/Documentry
origin,1180,TV 2/Networks,TV 2/Networks
origin,1190,TV 2/Interaktiv,TV 2/Interaktiv
origin,1200,Regional produktion(NB ikke entreprise),Regional production (NB not enterprise)
origin,1210,TV 2/BORNHOLM,TV 2/BORNHOLM
origin,1220,TV 2/FYN,TV 2/FYN
origin,1230,TV/MIDT-VEST,TV/MIDT-VEST
origin,1240,TV SYD,TV SYD
origin,1250,TV 2 / ØSTJYLLAND,TV 2 / ØSTJYLLAND
origin,1260,TV2 ØST,TV2 ØST
origin,1270,TV2/NORD,TV2/NORD
origin,1280,TV 2/ Lorry,TV 2/ Lorry
